No.,Time,Source,Service Data,Info,Length
1702,3.477664,dc:23:51:7d:96:27,,ADV_NONCONN_IND,63
1703,3.478523,dc:23:51:7d:96:27,408060000001e70a9a673df24863673e8e927a00,ADV_NONCONN_IND,63
1704,3.479394,dc:23:51:7d:96:27,408080000001e701232daa381b17ea805a09af00,ADV_NONCONN_IND,63
1706,3.481125,dc:23:51:7d:96:27,408060000001e70a9a673df24863673e8e927a00,ADV_NONCONN_IND,63
1707,3.481983,dc:23:51:7d:96:27,408080000001e701232daa381b17ea805a09af00,ADV_NONCONN_IND,63
1708,3.482843,dc:23:51:7d:96:27,,ADV_NONCONN_IND,63
1709,3.483715,dc:23:51:7d:96:27,408060000001e70a9a673df24863673e8e927a00,ADV_NONCONN_IND,63
1710,3.484572,dc:23:51:7d:96:27,408080000001e701232daa381b17ea805a09af00,ADV_NONCONN_IND,63
1711,3.488031,dc:23:51:7d:96:27,,ADV_NONCONN_IND,63
1712,3.488891,dc:23:51:7d:96:27,408060000001e70a9a673df24863673e8e927a00,ADV_NONCONN_IND,63
1713,3.489748,dc:23:51:7d:96:27,408080000001e701232daa381b17ea805a09af00,ADV_NONCONN_IND,63
1714,3.490610,dc:23:51:7d:96:27,,ADV_NONCONN_IND,63
1715,3.491469,dc:23:51:7d:96:27,408060000001e70a9a673df24863673e8e927a00,ADV_NONCONN_IND,63
1716,3.492327,dc:23:51:7d:96:27,408080000001e701232daa381b17ea805a09af00,ADV_NONCONN_IND,63
1721,3.500938,dc:23:51:7d:96:27,,ADV_NONCONN_IND,63
1722,3.501810,dc:23:51:7d:96:27,408060000001e70a9a673df24863673e8e927a00,ADV_NONCONN_IND,63
1723,3.502668,dc:23:51:7d:96:27,408080000001e701232daa381b17ea805a09af00,ADV_NONCONN_IND,63
1724,3.503526,dc:23:51:7d:96:27,,ADV_NONCONN_IND,63
1725,3.506989,dc:23:51:7d:96:27,408060000001e70a9a673df24863673e8e927a00,ADV_NONCONN_IND,63
1726,3.507847,dc:23:51:7d:96:27,408080000001e701232daa381b17ea805a09af00,ADV_NONCONN_IND,63
1727,3.508718,dc:23:51:7d:96:27,,ADV_NONCONN_IND,63
1728,3.509577,dc:23:51:7d:96:27,408060000001e70a9a673df24863673e8e927a00,ADV_NONCONN_IND,63
1729,3.510435,dc:23:51:7d:96:27,408080000001e701232daa381b17ea805a09af00,ADV_NONCONN_IND,63
1731,3.514755,dc:23:51:7d:96:27,408060000001e70a9a673df24863673e8e927a00,ADV_NONCONN_IND,63
1732,3.515619,dc:23:51:7d:96:27,408080000001e701232daa381b17ea805a09af00,ADV_NONCONN_IND,63
1733,3.516478,dc:23:51:7d:96:27,,ADV_NONCONN_IND,63
1734,3.517336,dc:23:51:7d:96:27,408060000001e70a9a673df24863673e8e927a00,ADV_NONCONN_IND,63
1735,3.520778,dc:23:51:7d:96:27,408080000001e701232daa381b17ea805a09af00,ADV_NONCONN_IND,63
1738,3.525934,dc:23:51:7d:96:27,408080000001e701232daae8f0c78dd7d62914a7,ADV_NONCONN_IND,63
1739,3.526797,dc:23:51:7d:96:27,,ADV_NONCONN_IND,63
1740,3.527656,dc:23:51:7d:96:27,408060000001e70a9a673df24863673e8e927a00,ADV_NONCONN_IND,63
1741,3.528514,dc:23:51:7d:96:27,408080000001e701232daa381b17ea805a09af00,ADV_NONCONN_IND,63
1742,3.529375,dc:23:51:7d:96:27,,ADV_NONCONN_IND,63
1743,3.532822,dc:23:51:7d:96:27,408060000001e70a9a673df24863673e8e927a00,ADV_NONCONN_IND,63
1744,3.533693,dc:23:51:7d:96:27,408080000001e701232daa381b17ea805a09af00,ADV_NONCONN_IND,63
1745,3.534552,dc:23:51:7d:96:27,,ADV_NONCONN_IND,63
1746,3.535410,dc:23:51:7d:96:27,408060000001e70a9a673df24863673e8e927a00,ADV_NONCONN_IND,63
1751,3.539735,dc:23:51:7d:96:27,,ADV_NONCONN_IND,63
1752,3.540607,dc:23:51:7d:96:27,408060000001e70a9a673df24863673e8e927a00,ADV_NONCONN_IND,63
1753,3.541464,dc:23:51:7d:96:27,408080000001e701232daa381b17ea805a09af00,ADV_NONCONN_IND,63
1754,3.542324,dc:23:51:7d:96:27,,ADV_NONCONN_IND,63
1755,3.543196,dc:23:51:7d:96:27,408060000001e70a9a673df24863673e8e927a00,ADV_NONCONN_IND,63
1756,3.544053,dc:23:51:7d:96:27,408080000001e701232daa381b179ad257a92d37,ADV_NONCONN_IND,63
1757,3.544926,dc:23:51:7d:96:27,,ADV_NONCONN_IND,63
1758,3.545785,dc:23:51:7d:96:27,408060000001e70a9a673df24863673e8e927a00,ADV_NONCONN_IND,63
1759,3.546643,dc:23:51:7d:96:27,408080000001e701232daa381b17ea805a09af00,ADV_NONCONN_IND,63
1761,3.550952,dc:23:51:7d:96:27,408060000001e70a9a3da7e6b0703859d0d27779,ADV_NONCONN_IND,63
1762,3.551823,dc:23:51:7d:96:27,408080000001e701232daa381b17ea805a09af00,ADV_NONCONN_IND,63
1763,3.552681,dc:23:51:7d:96:27,,ADV_NONCONN_IND,63
1764,3.553540,dc:23:51:7d:96:27,408060000001e70a9a673df24863673e8e927a00,ADV_NONCONN_IND,63
1766,3.555269,dc:23:51:7d:96:27,,ADV_NONCONN_IND,63
1768,3.557006,dc:23:51:7d:96:27,408080000001e701232daa381b17ea805a09af00,ADV_NONCONN_IND,63
1769,3.557865,dc:23:51:7d:96:27,,ADV_NONCONN_IND,63
1770,3.558736,dc:23:51:7d:96:27,408060000001e70a9a673df24863673e8e927a00,ADV_NONCONN_IND,63
1771,3.559594,dc:23:51:7d:96:27,408080000001e701232daa381b17ea805a09af00,ADV_NONCONN_IND,63
1772,3.560452,dc:23:51:7d:96:27,,ADV_NONCONN_IND,63
1773,3.561324,dc:23:51:7d:96:27,408060000001e70a9a673df24863673e8e927a00,ADV_NONCONN_IND,63
1774,3.562181,dc:23:51:7d:96:27,408080000001e701232daa381b17ea805aa53da7,ADV_NONCONN_IND,63
1775,3.563053,dc:23:51:7d:96:27,,ADV_NONCONN_IND,63
1778,3.568215,dc:23:51:7d:96:27,,ADV_NONCONN_IND,63
1782,3.573372,dc:23:51:7d:96:27,,ADV_NONCONN_IND,63
1792,3.582850,dc:23:51:7d:96:27,408080000001e701232daa381b17ea805a09af00,ADV_NONCONN_IND,63
1793,3.583721,dc:23:51:7d:96:27,,ADV_NONCONN_IND,63
1794,3.584580,dc:23:51:7d:96:27,408060000001e70a9a673df24863673e8e927a00,ADV_NONCONN_IND,63
1795,3.585438,dc:23:51:7d:96:27,408080000001e701232daa381b17ea805a09af00,ADV_NONCONN_IND,63
1796,3.586308,dc:23:51:7d:96:27,,ADV_NONCONN_IND,63
1797,3.587166,dc:23:51:7d:96:27,902ceff4cfc79b95853faec74963673e8e927a00,ADV_NONCONN_IND,63
1798,3.588037,dc:23:51:7d:96:27,af42714ccc33eb42a9a1ac381b17ea805a09af00,ADV_NONCONN_IND,63
1799,3.588896,dc:23:51:7d:96:27,,ADV_NONCONN_IND,63
1800,3.589754,dc:23:51:7d:96:27,408060000001e70a9a673df24863673e8e927a00,ADV_NONCONN_IND,63
1801,3.590624,dc:23:51:7d:96:27,408080000001e701232daa381b17ea805a09af00,ADV_NONCONN_IND,63
1802,3.591483,dc:23:51:7d:96:27,,ADV_NONCONN_IND,63
1805,3.596661,dc:23:51:7d:96:27,,ADV_NONCONN_IND,63
1808,3.601824,dc:23:51:7d:96:27,,ADV_NONCONN_IND,63
1809,3.602682,dc:23:51:7d:96:27,408060000001e70a9a673df24863673e8e927a00,ADV_NONCONN_IND,63
1810,3.603540,dc:23:51:7d:96:27,408080000001e701232daa381b17ea805a09af00,ADV_NONCONN_IND,63
1811,3.604413,dc:23:51:7d:96:27,,ADV_NONCONN_IND,63
1813,3.608730,dc:23:51:7d:96:27,408080000001e701232daa381b17ea805a09af00,ADV_NONCONN_IND,63
1814,3.609589,dc:23:51:7d:96:27,,ADV_NONCONN_IND,63
1815,3.613048,dc:23:51:7d:96:27,408060000001e70a9a673df24863673e8e927a00,ADV_NONCONN_IND,63
1816,3.619081,dc:23:51:7d:96:27,408080000001e701232daaeef0c7cd937f608d6b,ADV_NONCONN_IND,63
1817,3.619953,dc:23:51:7d:96:27,,ADV_NONCONN_IND,63
1818,3.620811,dc:23:51:7d:96:27,408060000001e70a9a673df24863673e8e927a00,ADV_NONCONN_IND,63
1819,3.621669,dc:23:51:7d:96:27,408080000001e701232daa381b17ea805a09af00,ADV_NONCONN_IND,63
1825,3.627708,dc:23:51:7d:96:27,,ADV_NONCONN_IND,63
1826,3.628566,dc:23:51:7d:96:27,408060000001e70a9a673df24863673e8e927a00,ADV_NONCONN_IND,63
1828,3.632892,dc:23:51:7d:96:27,,ADV_NONCONN_IND,63
1830,3.634621,dc:23:51:7d:96:27,408080000001e701232daa381b17ea805a09af00,ADV_NONCONN_IND,63
1831,3.635479,dc:23:51:7d:96:27,,ADV_NONCONN_IND,63
1834,3.638080,dc:23:51:7d:96:27,,ADV_NONCONN_IND,63
1835,3.638938,dc:23:51:7d:96:27,408060000001e70a9a673df24863673e8e927a00,ADV_NONCONN_IND,63
1836,3.639795,dc:23:51:7d:96:27,408080000001e701232daa381b17ea805a09af00,ADV_NONCONN_IND,63
1837,3.640664,dc:23:51:7d:96:27,,ADV_NONCONN_IND,63
1838,3.641522,dc:23:51:7d:96:27,408060000001e70a9a673df24863673e8e927a00,ADV_NONCONN_IND,63
1839,3.644964,dc:23:51:7d:96:27,408080000001e701232daa381b17ea805a09af00,ADV_NONCONN_IND,63
1840,3.645822,dc:23:51:7d:96:27,,ADV_NONCONN_IND,63
1841,3.646680,dc:23:51:7d:96:27,408060000001e70a9a673df24863673e8e927a00,ADV_NONCONN_IND,63
1842,3.647541,dc:23:51:7d:96:27,408080000001e701232daa381b17ea805a09af00,ADV_NONCONN_IND,63
1843,3.648399,dc:23:51:7d:96:27,,ADV_NONCONN_IND,63
1844,3.649258,dc:23:51:7d:96:27,408060000001e70a9a673df24863673e8e927a00,ADV_NONCONN_IND,63
1845,3.650118,dc:23:51:7d:96:27,408080000001e762229426a5a1948df2dcb2ac00,ADV_NONCONN_IND,63
1846,3.650977,dc:23:51:7d:96:27,,ADV_NONCONN_IND,63
1847,3.651842,dc:23:51:7d:96:27,408060000001e70a9a673df24863673e8e927a00,ADV_NONCONN_IND,63
1848,3.652700,dc:23:51:7d:96:27,408080000001e701232daa381b17ea805a09af00,ADV_NONCONN_IND,63
1851,3.657876,dc:23:51:7d:96:27,408080000001e701232daa381b17ea805a092fa7,ADV_NONCONN_IND,63
1852,3.658747,dc:23:51:7d:96:27,,ADV_NONCONN_IND,63
1853,3.659607,dc:23:51:7d:96:27,408060000001e70a9a673df24863673e8e927a00,ADV_NONCONN_IND,63
1854,3.660464,dc:23:51:7d:96:27,408080000001e701232daa381b17ea805a09af00,ADV_NONCONN_IND,63
1855,3.663922,dc:23:51:7d:96:27,,ADV_NONCONN_IND,63
1856,3.664780,dc:23:51:7d:96:27,408060000001e70a9a673df24863673e8e927a00,ADV_NONCONN_IND,63
1857,3.665650,dc:23:51:7d:96:27,408080000001e701232daa381b17ea805a09af00,ADV_NONCONN_IND,63
1858,3.666509,dc:23:51:7d:96:27,,ADV_NONCONN_IND,63
1859,3.667368,dc:23:51:7d:96:27,408060000001e70a9a673df24863673e8e927a00,ADV_NONCONN_IND,63
1860,3.673408,dc:23:51:7d:96:27,408080000001e701232daa381b17ea805a09af00,ADV_NONCONN_IND,63
1863,3.675987,dc:23:51:7d:96:27,408080000001e701232daa381b17ea805a09af00,ADV_NONCONN_IND,63
1864,3.676851,dc:23:51:7d:96:27,,ADV_NONCONN_IND,63
1865,3.682887,dc:23:51:7d:96:27,408060000001e70a9a673df24863673e8e9477f8,ADV_NONCONN_IND,63
1866,3.683757,dc:23:51:7d:96:27,408080000001e701232daa381b17ea805a09af00,ADV_NONCONN_IND,63
1867,3.684616,dc:23:51:7d:96:27,,ADV_NONCONN_IND,63
1868,3.685475,dc:23:51:7d:96:27,408060000001e70a9a673df24863673e8e927a00,ADV_NONCONN_IND,63
1869,3.686344,dc:23:51:7d:96:27,,ADV_NONCONN_IND,63
1870,3.687203,dc:23:51:7d:96:27,,ADV_NONCONN_IND,63
1872,3.688933,dc:23:51:7d:96:27,408080000001e701232daa381b17ea805a09af00,ADV_NONCONN_IND,63
1873,3.689791,dc:23:51:7d:96:27,,ADV_NONCONN_IND,63
1874,3.690663,dc:23:51:7d:96:27,408060000001e70a9a673df24863673e8e927a00,ADV_NONCONN_IND,63
1875,3.691521,dc:23:51:7d:96:27,408080000001e701232daa381b17ea805a09af00,ADV_NONCONN_IND,63
1876,3.692379,dc:23:51:7d:96:27,,ADV_NONCONN_IND,63
1877,3.695838,dc:23:51:7d:96:27,408060000001e70a9a673df24863673e8e927a00,ADV_NONCONN_IND,63
1878,3.696696,dc:23:51:7d:96:27,408080000001e701232daa381b17ea805a09af00,ADV_NONCONN_IND,63
1879,3.697560,dc:23:51:7d:96:27,,ADV_NONCONN_IND,63
1880,3.701006,dc:23:51:7d:96:27,4080e8f0c78dd7d6a9fe95e52465653e8e927a00,ADV_NONCONN_IND,63
1881,3.701876,dc:23:51:7d:96:27,408080000001e701232daa381b17ea805a09af00,ADV_NONCONN_IND,63
1882,3.702735,dc:23:51:7d:96:27,,ADV_NONCONN_IND,63
1883,3.703593,dc:23:51:7d:96:27,408060000001e70a9a673df24863673e8e927a00,ADV_NONCONN_IND,63
1884,3.704464,dc:23:51:7d:96:27,408080000001e701232daa381b17ea805a09af00,ADV_NONCONN_IND,63
1885,3.705323,dc:23:51:7d:96:27,,ADV_NONCONN_IND,63
1889,3.713964,dc:23:51:7d:96:27,408060000001e70a9a673df24863673e8e927a00,ADV_NONCONN_IND,63
1890,3.714821,dc:23:51:7d:96:27,408080000001e701232daa381b17ea805a09af00,ADV_NONCONN_IND,63
